MUN,NOM_MUN,POBTOT,POBFEM,POBMAS
2,Azcapotzalco,432205,227255,204950
3,Coyoacán,614447,325337,289110
4,Cuajimalpa de Morelos,217686,113537,104149
5,Gustavo A. Madero,1173351,609477,563874
6,Iztacalco,404695,212343,192352
7,Iztapalapa,1835486,947835,887651
8,La Magdalena Contreras,247622,129335,118287
9,Milpa Alta,152685,78314,74371
10,Álvaro Obregón,759133,398130,361003
11,Tláhuac,392313,202123,190190
12,Tlalpan,699928,365051,334877
13,Xochimilco,442178,226726,215452
14,Benito Juárez,434153,232032,202121
15,Cuauhtémoc,545884,284933,260951
16,Miguel Hidalgo,414470,219003,195467
17,Venustiano Carranza,443704,233586,210118
